Category,2024,2025
Google Search & other,46156,50702
YouTube ads,8090,8927
Google Network,7413,7256
Google advertising,61659,66885
"Google subscriptions, platforms, and devices",8739,10379
Google Services total,70398,77264
Google Cloud,9574,12260
Other Bets,495,450
Hedging gains (losses),72,260
Total revenues,80539,90234
Total TAC,12946,13748
Number of employees,180895,185719
