Type,2023,2024
Interest income,892,1090
Interest expense,-43,-67
"Foreign currency exchange gain (loss), net",-268,-173
"Gain (loss) on debt securities, net",-304,-310
"Gain (loss) on equity securities, net",-205,-714
Performance fees,5,128
"Income (loss) and impairment from equity method investments, net",-106,32
Other,94,140
"Other income (expense), net",65,126
