"Quarter Ended September 30,",Revenues excluding hedging effect,Less FX Effect,Constant Currency Revenues,% Change from Prior Period As Reported,Less Hedging Effect,Hedging gains (losses),Total revenues,% Change from Prior Period
2022.0,68454.0,,,,,638.0,69092.0,
2023,76694,1%,11%,12%,-1%,-1,76693,11%
