Category,2023,2024
Google Search & other,42628,48509
YouTube ads,7665,8663
Google Network,7850,7444
Google advertising,58143,64616
"Google subscriptions, platforms, and devices",8142,9312
Google Services total,66285,73928
Google Cloud,8031,10347
Other Bets,285,365
Hedging gains (losses),3,102
Total revenues,74604,84742
Total TAC,12537,13387
Number of employees,181798,179582
