Category,2023,2024
Google Search & other,44026,49385
YouTube ads,7952,8921
Google Network,7669,7548
Google advertising,59647,65854
"Google subscriptions, platforms, and devices",8339,10656
Google Services total,67986,76510
Google Cloud,8411,11353
Other Bets,297,388
Hedging gains (losses),-1,17
Total revenues,76693,88268
Total TAC,12642,13719
Number of employees,182381,181269
