Metric,2024,2025
Revenues,80539,90234
Change in revenues year over year,15 %,12 %
Change in constant currency revenues year over year,16 %,14 %
Operating income,25472,30606
Operating margin,32 %,34 %
"Other income (expense), net",2843,11183
Net income,23662,34540
Diluted EPS,1.89,2.81
