Description,2022,2023,Less FX Effect,Constant Currency Revenues,% Change As Reported,% Change Less Hedging Effect,% Change Less FX Effect,% Change Constant Currency Revenues
Revenues excluding hedging effect,280876,307158,-1953,309111,9%,,-1%,10%
Hedging gains (losses),1960,236,,309111,,,,
Total revenues,282836,307394,,309111,9%,0%,-1%,10%
