Category,2023,2024
Interest income,1110,1088
Interest expense,-69,-53
"Foreign currency exchange gain (loss), net",-449,-21
"Gain (loss) on debt securities, net",-115,-431
"Gain (loss) on equity securities, net",586,364
Performance fees,-45,-43
"Income (loss) and impairment from equity method investments, net",-256,-87
Other,-47,454
"Other income (expense), net",715,1271
