Category,2023,2024
Google Services,61961,70398
Google Cloud,7454,9574
Other Bets,288,495
Hedging gains (losses),84,72
,69787,80539
Google Services,21737,27897
Google Cloud,191,900
Other Bets,-1225,-1020
Alphabet-level activities,-3288,-2305
,17415,25472
