"Quarter Ended June 30,",Revenues,Change in revenues year over year,Change in constant currency revenues year over year(1),Operating income,Operating margin,"Other income (expense), net",Net income,Diluted EPS
2023,74604,7 %,9 %,21838,29 %,65,18368,1.44
2024,84742,14 %,15 %,27425,32 %,126,23619,1.89
