Quarter Ended December 31,Revenues,Change in revenues year over year,Change in constant currency revenues year over year,Operating income,Operating margin,"Other income (expense), net",Net income,Diluted EPS,Year Ended December 31
2023,307394,9%,10%,84293,27%,1424,73795,5.80,2023
2024,350018,14%,15%,112390,32%,7425,100118,8.04,2024
