"Quarter Ended June 30,",Revenues,Change in revenues year over year,Change in constant currency revenues year over year(1),Operating income,Operating margin,"Other income (expense), net",Net income,Diluted EPS
2024,84742,14%,15%,27425,32%,126,23619,1.89
2025,96428,14%,13%,31271,32%,2662,28196,2.31
